epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,915.383,1.081,0.68011,1.17435,0.94524,0.89888,0.93647,0.61789,1.15641,0.59334,1.23438,0.000990365,0.000990365,0.000990365
43,939.268,1.05769,0.66462,1.14877,0.94339,0.88663,0.93222,0.61347,1.15453,0.64569,1.23483,0.000973861,0.000973861,0.000973861
44,961.024,1.05846,0.65347,1.14483,0.9443,0.91075,0.94782,0.62505,1.16127,0.60464,1.23551,0.000957358,0.000957358,0.000957358
45,981.155,1.05666,0.64828,1.14248,0.94419,0.89942,0.94487,0.61396,1.18577,0.60961,1.26582,0.000940855,0.000940855,0.000940855
46,1002.39,1.05033,0.66497,1.1586,0.94312,0.84914,0.93287,0.59448,1.21045,0.64261,1.26466,0.000924352,0.000924352,0.000924352
47,1023.72,1.05286,0.63924,1.15013,0.91834,0.88882,0.93507,0.59141,1.24567,0.65357,1.3199,0.000907848,0.000907848,0.000907848
48,1044.58,1.01785,0.63834,1.1289,0.94201,0.89976,0.94304,0.6272,1.14574,0.5929,1.22731,0.000891345,0.000891345,0.000891345
49,1066.26,1.0352,0.63503,1.13689,0.95886,0.90443,0.95819,0.63801,1.11926,0.56925,1.21106,0.000874842,0.000874842,0.000874842
50,1089.57,1.02734,0.62628,1.13847,0.94817,0.91971,0.95108,0.6245,1.16082,0.59244,1.23617,0.000858338,0.000858338,0.000858338
51,1111.2,1.01876,0.62202,1.13192,0.95071,0.89357,0.94544,0.62645,1.16489,0.59697,1.23688,0.000841835,0.000841835,0.000841835
52,1132.18,1.0002,0.62491,1.12059,0.93978,0.93002,0.94741,0.63008,1.12725,0.56662,1.21938,0.000825332,0.000825332,0.000825332
53,1153.54,0.9882,0.60769,1.11194,0.92998,0.89468,0.94132,0.6023,1.18962,0.60106,1.24491,0.000808828,0.000808828,0.000808828
54,1175.89,1.01192,0.61241,1.13341,0.95111,0.90354,0.94775,0.63015,1.12926,0.56613,1.21927,0.000792325,0.000792325,0.000792325
55,1197.38,1.00203,0.62129,1.11971,0.92718,0.92469,0.95596,0.63091,1.14898,0.5876,1.24602,0.000775822,0.000775822,0.000775822
56,1219.29,0.9913,0.59251,1.11068,0.9523,0.92854,0.96078,0.6433,1.12112,0.54288,1.2154,0.000759318,0.000759318,0.000759318
57,1240.9,0.99399,0.59003,1.11209,0.93493,0.91829,0.95739,0.66017,1.09471,0.52425,1.18519,0.000742815,0.000742815,0.000742815
58,1262.49,0.97107,0.58446,1.1016,0.92815,0.9191,0.95292,0.63984,1.12709,0.57178,1.2093,0.000726312,0.000726312,0.000726312
59,1283.71,0.96939,0.58813,1.10548,0.94055,0.92751,0.95292,0.6489,1.11961,0.54466,1.20542,0.000709809,0.000709809,0.000709809
60,1306.16,0.97195,0.59257,1.09842,0.94055,0.93487,0.95462,0.65066,1.09682,0.5381,1.19049,0.000693305,0.000693305,0.000693305
61,1327.14,0.93908,0.58018,1.10275,0.95145,0.94755,0.96704,0.65427,1.08557,0.52068,1.1906,0.000676802,0.000676802,0.000676802
62,1347.65,0.92713,0.55264,1.07646,0.94913,0.93267,0.95488,0.65173,1.10463,0.52116,1.21807,0.000660299,0.000660299,0.000660299
63,1370.7,0.9518,0.56421,1.09663,0.97014,0.93214,0.96023,0.65779,1.08763,0.51524,1.20701,0.000643795,0.000643795,0.000643795
64,1392.29,0.94976,0.56669,1.09614,0.95313,0.92124,0.95762,0.65864,1.09389,0.5413,1.2013,0.000627292,0.000627292,0.000627292
65,1413.02,0.92868,0.55246,1.07905,0.95463,0.9291,0.96401,0.65325,1.09896,0.51803,1.21755,0.000610789,0.000610789,0.000610789
66,1433.69,0.92652,0.54758,1.0957,0.96546,0.92118,0.95953,0.66664,1.0751,0.52773,1.19211,0.000594286,0.000594286,0.000594286
67,1456.14,0.93811,0.54677,1.09154,0.9636,0.929,0.96275,0.67004,1.06903,0.50928,1.18951,0.000577782,0.000577782,0.000577782
68,1477.05,0.91928,0.53638,1.07648,0.93732,0.92416,0.96014,0.65712,1.08848,0.52655,1.18134,0.000561279,0.000561279,0.000561279
69,1498.33,0.92006,0.54385,1.07371,0.94339,0.93502,0.963,0.66594,1.06837,0.51368,1.18517,0.000544776,0.000544776,0.000544776
70,1519.12,0.91695,0.54878,1.08118,0.96086,0.9306,0.95746,0.67161,1.04293,0.50056,1.16377,0.000528272,0.000528272,0.000528272
71,1540.73,0.92429,0.53788,1.07113,0.95737,0.93819,0.96229,0.68038,1.04386,0.50525,1.171,0.000511769,0.000511769,0.000511769
72,1562.12,0.88782,0.52282,1.06047,0.96589,0.92032,0.96052,0.67245,1.05723,0.51671,1.18043,0.000495266,0.000495266,0.000495266
73,1583,0.87966,0.51924,1.06333,0.968,0.92831,0.96765,0.67237,1.04181,0.50022,1.18012,0.000478762,0.000478762,0.000478762
74,1604.47,0.88592,0.52247,1.05703,0.96373,0.9283,0.96505,0.67798,1.02969,0.49282,1.17182,0.000462259,0.000462259,0.000462259
75,1625.88,0.8851,0.51599,1.06711,0.96022,0.9416,0.96988,0.67233,1.03793,0.48823,1.16659,0.000445756,0.000445756,0.000445756
76,1646.12,0.87397,0.50253,1.0512,0.96411,0.93836,0.96717,0.67033,1.04257,0.48735,1.15868,0.000429253,0.000429253,0.000429253
77,1668.89,0.87074,0.51511,1.05969,0.96771,0.93218,0.96242,0.6761,1.01743,0.47571,1.15309,0.000412749,0.000412749,0.000412749
